"psu_id","household_id","stratum","province","urban_rural","economic_zone","household_size","income","education_head","has_electricity","has_internet","size","n_psu_stratum","N_psu_stratum","psu_weight","hh_weight","final_weight"
486,1,"P1_Rural","P1","Rural","Mixed",5,26527,9,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,2,"P1_Rural","P1","Rural","Mixed",2,41881,15,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,3,"P1_Rural","P1","Rural","Mixed",4,40886,8,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,4,"P1_Rural","P1","Rural","Mixed",6,24709,9,0,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,5,"P1_Rural","P1","Rural","Mixed",4,80784,12,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,6,"P1_Rural","P1","Rural","Mixed",7,181016,15,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,7,"P1_Rural","P1","Rural","Mixed",6,110919,10,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,8,"P1_Rural","P1","Rural","Mixed",6,41042,14,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,9,"P1_Rural","P1","Rural","Mixed",5,78873,9,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,10,"P1_Rural","P1","Rural","Mixed",2,24614,5,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,11,"P1_Rural","P1","Rural","Mixed",7,40781,14,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,12,"P1_Rural","P1","Rural","Mixed",3,40653,15,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,13,"P1_Rural","P1","Rural","Mixed",4,25103,14,0,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,14,"P1_Rural","P1","Rural","Mixed",4,33941,10,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,15,"P1_Rural","P1","Rural","Mixed",2,18393,13,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,16,"P1_Rural","P1","Rural","Mixed",1,65623,5,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,17,"P1_Rural","P1","Rural","Mixed",7,31153,16,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,18,"P1_Rural","P1","Rural","Mixed",2,19139,2,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,19,"P1_Rural","P1","Rural","Mixed",7,36358,13,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,20,"P1_Rural","P1","Rural","Mixed",6,36545,7,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,21,"P1_Rural","P1","Rural","Mixed",2,97207,12,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,22,"P1_Rural","P1","Rural","Mixed",1,33244,12,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,23,"P1_Rural","P1","Rural","Mixed",4,18423,10,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,24,"P1_Rural","P1","Rural","Mixed",4,19491,14,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,25,"P1_Rural","P1","Rural","Mixed",5,55758,6,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,26,"P1_Rural","P1","Rural","Mixed",4,32111,10,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,27,"P1_Rural","P1","Rural","Mixed",3,84152,12,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,28,"P1_Rural","P1","Rural","Mixed",4,25976,8,1,1,408,5,93,18.6,0.27364185110664,5.0897384305835
486,29,"P1_Rural","P1","Rural","Mixed",5,73970,9,0,0,408,5,93,18.6,0.27364185110664,5.0897384305835
486,30,"P1_Rural","P1","Rural","Mixed",6,45209,11,1,0,408,5,93,18.6,0.27364185110664,5.0897384305835
41,1,"P1_Rural","P1","Rural","Industrial",9,31981,9,1,0,409,5,93,18.6,0.274312541918176,5.10221327967807
41,2,"P1_Rural","P1","Rural","Industrial",0,48776,15,1,1,409,5,93,18.6,0.274312541918176,5.10221327967807
41,3,"P1_Rural","P1","Rural","Industrial",5,38195,8,1,1,409,5,93,18.6,0.274312541918176,5.10221327967807
41,4,"P1_Rural","P1","Rural","Industrial",2,44439,10,1,1,409,5,93,18.6,0.274312541918176,5.10221327967807
41,5,"P1_Rural","P1","Rural","Industrial",2,48395,8,1,0,409,5,93,18.6,0.274312541918176,5.10221327967807
41,6,"P1_Rural","P1","Rural","Industrial",3,7025,10,0,1,409,5,93,18.6,0.274312541918176,5.10221327967807
41,7,"P1_Rural","P1","Rural","Industrial",3,91320,7,1,0,409,5,93,18.6,0.274312541918176,5.10221327967807
